"auth_id","user_id","entre_id","fact_id","enable"
UID002E001_35000,UID002,E001_3,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID002E001_45000,UID002,E001_4,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID002E001_16030,UID002,E001_1,"97wdRZ89Q3ypSOwfEah9lA",Y
UID002E001_26030,UID002,E001_2,"97wdRZ89Q3ypSOwfEah9lA",Y
UID002E001_36030,UID002,E001_3,"97wdRZ89Q3ypSOwfEah9lA",Y
UID002E001_46030,UID002,E001_4,"97wdRZ89Q3ypSOwfEah9lA",Y
UID002E001_12070,UID002,E001_1,wMusebC4R4i3HKNLOrHtbA,Y
UID002E001_22070,UID002,E001_2,wMusebC4R4i3HKNLOrHtbA,Y
UID002E001_32070,UID002,E001_3,wMusebC4R4i3HKNLOrHtbA,Y
UID002E001_42070,UID002,E001_4,wMusebC4R4i3HKNLOrHtbA,Y
UID031E001_15010,UID031,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID031E001_25010,UID031,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID031E001_35010,UID031,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID031E001_45010,UID031,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID031E001_15080,UID031,E001_1,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID031E001_25080,UID031,E001_2,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID031E001_35080,UID031,E001_3,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID031E001_45080,UID031,E001_4,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID031E001_12150,UID031,E001_1,HnYkFQt4R4O2Z8vhXu_89g,Y
UID031E001_22150,UID031,E001_2,HnYkFQt4R4O2Z8vhXu_89g,Y
UID031E001_32150,UID031,E001_3,HnYkFQt4R4O2Z8vhXu_89g,Y
UID031E001_42150,UID031,E001_4,HnYkFQt4R4O2Z8vhXu_89g,Y
UID031E001_12151,UID031,E001_1,R0gPBhnSQ5aknFY32qqbTQ,Y
UID031E001_22151,UID031,E001_2,R0gPBhnSQ5aknFY32qqbTQ,Y
UID031E001_32151,UID031,E001_3,R0gPBhnSQ5aknFY32qqbTQ,Y
UID031E001_42151,UID031,E001_4,R0gPBhnSQ5aknFY32qqbTQ,Y
UID031E001_15000,UID031,E001_1,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID031E001_25000,UID031,E001_2,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID031E001_35000,UID031,E001_3,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID031E001_45000,UID031,E001_4,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID031E001_16030,UID031,E001_1,"97wdRZ89Q3ypSOwfEah9lA",Y
UID031E001_26030,UID031,E001_2,"97wdRZ89Q3ypSOwfEah9lA",Y
UID031E001_36030,UID031,E001_3,"97wdRZ89Q3ypSOwfEah9lA",Y
UID031E001_46030,UID031,E001_4,"97wdRZ89Q3ypSOwfEah9lA",Y
UID031E001_12070,UID031,E001_1,wMusebC4R4i3HKNLOrHtbA,Y
UID031E001_22070,UID031,E001_2,wMusebC4R4i3HKNLOrHtbA,Y
UID031E001_32070,UID031,E001_3,wMusebC4R4i3HKNLOrHtbA,Y
UID031E001_42070,UID031,E001_4,wMusebC4R4i3HKNLOrHtbA,Y
UID030E001_15010,UID030,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID030E001_25010,UID030,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID030E001_35010,UID030,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID030E001_45010,UID030,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID030E001_15080,UID030,E001_1,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID030E001_25080,UID030,E001_2,ZENtQ6O_QPGtXkL0Qpz9wA,Y
